# f(Hz) u

260.048 0.059
260.348 0.068
260.648 0.081
260.948 0.102
261.248 0.136
261.448 0.178
261.648 0.260
261.748 0.341
261.798 0.403
261.848 0.491
261.898 0.629
261.928 0.744
261.948 0.863
261.958 0.920
261.968 0.999
261.978 1.060
261.988 1.154
261.998 1.226
262.008 1.321
262.018 1.404
262.028 1.452
262.038 1.492
262.048 1.500
262.058 1.482
262.068 1.434
262.078 1.382
262.088 1.306
262.098 1.244
262.118 1.103
262.128 1.027
262.228 0.570
262.328 0.376
262.428 0.277
262.738 0.187
263.548 0.075
263.798 0.059
264.048 0.043


